PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Sex_Pclass
273,1,2,1,41.0,0,1,19.5,2,1_2
274,0,1,0,37.0,0,1,29.7,0,0_1
275,1,3,1,28.0,0,0,7.75,1,1_3
276,1,1,1,63.0,1,0,77.9583,2,1_1
277,0,3,1,45.0,0,0,7.75,2,1_3
278,0,2,0,28.0,0,0,0.0,2,0_2
279,0,3,0,7.0,4,1,29.125,1,0_3
280,1,3,1,35.0,1,1,20.25,2,1_3
281,0,3,0,65.0,0,0,7.75,1,0_3
282,0,3,0,28.0,0,0,7.8542,2,0_3
283,0,3,0,16.0,0,0,9.5,2,0_3
284,1,3,0,19.0,0,0,8.05,2,0_3
285,0,1,0,28.0,0,0,26.0,2,0_1
286,0,3,0,33.0,0,0,8.6625,0,0_3
287,1,3,0,30.0,0,0,9.5,2,0_3
288,0,3,0,22.0,0,0,7.8958,2,0_3
289,1,2,0,42.0,0,0,13.0,2,0_2
290,1,3,1,22.0,0,0,7.75,1,1_3
291,1,1,1,26.0,0,0,78.85,2,1_1
292,1,1,1,19.0,1,0,91.0792,0,1_1
293,0,2,0,36.0,0,0,12.875,0,0_2
294,0,3,1,24.0,0,0,8.85,2,1_3
295,0,3,0,24.0,0,0,7.8958,2,0_3
296,0,1,0,28.0,0,0,27.7208,0,0_1
297,0,3,0,23.5,0,0,7.2292,0,0_3
298,0,1,1,2.0,1,2,151.55,2,1_1
299,1,1,0,28.0,0,0,30.5,2,0_1
300,1,1,1,50.0,0,1,247.5208,0,1_1
301,1,3,1,28.0,0,0,7.75,1,1_3
302,1,3,0,28.0,2,0,23.25,1,0_3
303,0,3,0,19.0,0,0,0.0,2,0_3
304,1,2,1,28.0,0,0,12.35,1,1_2
305,0,3,0,28.0,0,0,8.05,2,0_3
306,1,1,0,0.92,1,2,151.55,2,0_1
307,1,1,1,28.0,0,0,110.8833,0,1_1
308,1,1,1,17.0,1,0,108.9,0,1_1
309,0,2,0,30.0,1,0,24.0,0,0_2
310,1,1,1,30.0,0,0,56.9292,0,1_1
311,1,1,1,24.0,0,0,83.1583,0,1_1
312,1,1,1,18.0,2,2,262.375,0,1_1
313,0,2,1,26.0,1,1,26.0,2,1_2
314,0,3,0,28.0,0,0,7.8958,2,0_3
315,0,2,0,43.0,1,1,26.25,2,0_2
316,1,3,1,26.0,0,0,7.8542,2,1_3
317,1,2,1,24.0,1,0,26.0,2,1_2
318,0,2,0,54.0,0,0,14.0,2,0_2
319,1,1,1,31.0,0,2,164.8667,2,1_1
320,1,1,1,40.0,1,1,134.5,0,1_1
321,0,3,0,22.0,0,0,7.25,2,0_3
322,0,3,0,27.0,0,0,7.8958,2,0_3
323,1,2,1,30.0,0,0,12.35,1,1_2
324,1,2,1,22.0,1,1,29.0,2,1_2
325,0,3,0,28.0,8,2,69.55,2,0_3
326,1,1,1,36.0,0,0,135.6333,0,1_1
327,0,3,0,61.0,0,0,6.2375,2,0_3
328,1,2,1,36.0,0,0,13.0,2,1_2
329,1,3,1,31.0,1,1,20.525,2,1_3
330,1,1,1,16.0,0,1,57.9792,0,1_1
331,1,3,1,28.0,2,0,23.25,1,1_3
332,0,1,0,45.5,0,0,28.5,2,0_1
333,0,1,0,38.0,0,1,153.4625,2,0_1
334,0,3,0,16.0,2,0,18.0,2,0_3
335,1,1,1,28.0,1,0,133.65,2,1_1
336,0,3,0,28.0,0,0,7.8958,2,0_3
337,0,1,0,29.0,1,0,66.6,2,0_1
338,1,1,1,41.0,0,0,134.5,0,1_1
339,1,3,0,45.0,0,0,8.05,2,0_3
340,0,1,0,45.0,0,0,35.5,2,0_1
341,1,2,0,2.0,1,1,26.0,2,0_2
342,1,1,1,24.0,3,2,263.0,2,1_1
343,0,2,0,28.0,0,0,13.0,2,0_2
344,0,2,0,25.0,0,0,13.0,2,0_2
345,0,2,0,36.0,0,0,13.0,2,0_2
346,1,2,1,24.0,0,0,13.0,2,1_2
347,1,2,1,40.0,0,0,13.0,2,1_2
348,1,3,1,28.0,1,0,16.1,2,1_3
349,1,3,0,3.0,1,1,15.9,2,0_3
350,0,3,0,42.0,0,0,8.6625,2,0_3
351,0,3,0,23.0,0,0,9.225,2,0_3
352,0,1,0,28.0,0,0,35.0,2,0_1
353,0,3,0,15.0,1,1,7.2292,0,0_3
354,0,3,0,25.0,1,0,17.8,2,0_3
355,0,3,0,28.0,0,0,7.225,0,0_3
356,0,3,0,28.0,0,0,9.5,2,0_3
357,1,1,1,22.0,0,1,55.0,2,1_1
358,0,2,1,38.0,0,0,13.0,2,1_2
359,1,3,1,28.0,0,0,7.8792,1,1_3
360,1,3,1,28.0,0,0,7.8792,1,1_3
361,0,3,0,40.0,1,4,27.9,2,0_3
362,0,2,0,29.0,1,0,27.7208,0,0_2
363,0,3,1,45.0,0,1,14.4542,0,1_3
364,0,3,0,35.0,0,0,7.05,2,0_3
365,0,3,0,28.0,1,0,15.5,1,0_3
366,0,3,0,30.0,0,0,7.25,2,0_3
367,1,1,1,60.0,1,0,75.25,0,1_1
368,1,3,1,28.0,0,0,7.2292,0,1_3
369,1,3,1,28.0,0,0,7.75,1,1_3
370,1,1,1,24.0,0,0,69.3,0,1_1
371,1,1,0,25.0,1,0,55.4417,0,0_1
372,0,3,0,18.0,1,0,6.4958,2,0_3
373,0,3,0,19.0,0,0,8.05,2,0_3
374,0,1,0,22.0,0,0,135.6333,0,0_1
375,0,3,1,3.0,3,1,21.075,2,1_3
376,1,1,1,28.0,1,0,82.1708,0,1_1
377,1,3,1,22.0,0,0,7.25,2,1_3
378,0,1,0,27.0,0,2,211.5,0,0_1
379,0,3,0,20.0,0,0,4.0125,0,0_3
380,0,3,0,19.0,0,0,7.775,2,0_3
381,1,1,1,42.0,0,0,227.525,0,1_1
382,1,3,1,1.0,0,2,15.7417,0,1_3
383,0,3,0,32.0,0,0,7.925,2,0_3
384,1,1,1,35.0,1,0,52.0,2,1_1
385,0,3,0,28.0,0,0,7.8958,2,0_3
386,0,2,0,18.0,0,0,73.5,2,0_2
387,0,3,0,1.0,5,2,46.9,2,0_3
388,1,2,1,36.0,0,0,13.0,2,1_2
389,0,3,0,28.0,0,0,7.7292,1,0_3
390,1,2,1,17.0,0,0,12.0,0,1_2
391,1,1,0,36.0,1,2,120.0,2,0_1
392,1,3,0,21.0,0,0,7.7958,2,0_3
393,0,3,0,28.0,2,0,7.925,2,0_3
394,1,1,1,23.0,1,0,113.275,0,1_1
395,1,3,1,24.0,0,2,16.7,2,1_3
396,0,3,0,22.0,0,0,7.7958,2,0_3
397,0,3,1,31.0,0,0,7.8542,2,1_3
398,0,2,0,46.0,0,0,26.0,2,0_2
399,0,2,0,23.0,0,0,10.5,2,0_2
400,1,2,1,28.0,0,0,12.65,2,1_2
401,1,3,0,39.0,0,0,7.925,2,0_3
402,0,3,0,26.0,0,0,8.05,2,0_3
403,0,3,1,21.0,1,0,9.825,2,1_3
404,0,3,0,28.0,1,0,15.85,2,0_3
405,0,3,1,20.0,0,0,8.6625,2,1_3
406,0,2,0,34.0,1,0,21.0,2,0_2
407,0,3,0,51.0,0,0,7.75,2,0_3
408,1,2,0,3.0,1,1,18.75,2,0_2
409,0,3,0,21.0,0,0,7.775,2,0_3
410,0,3,1,28.0,3,1,25.4667,2,1_3
411,0,3,0,28.0,0,0,7.8958,2,0_3
412,0,3,0,28.0,0,0,6.8583,1,0_3
413,1,1,1,33.0,1,0,90.0,1,1_1
414,0,2,0,28.0,0,0,0.0,2,0_2
415,1,3,0,44.0,0,0,7.925,2,0_3
416,0,3,1,28.0,0,0,8.05,2,1_3
417,1,2,1,34.0,1,1,32.5,2,1_2
418,1,2,1,18.0,0,2,13.0,2,1_2
419,0,2,0,30.0,0,0,13.0,2,0_2
420,0,3,1,10.0,0,2,24.15,2,1_3
421,0,3,0,28.0,0,0,7.8958,0,0_3
422,0,3,0,21.0,0,0,7.7333,1,0_3
423,0,3,0,29.0,0,0,7.875,2,0_3
424,0,3,1,28.0,1,1,14.4,2,1_3
425,0,3,0,18.0,1,1,20.2125,2,0_3
426,0,3,0,28.0,0,0,7.25,2,0_3
427,1,2,1,28.0,1,0,26.0,2,1_2
428,1,2,1,19.0,0,0,26.0,2,1_2
429,0,3,0,28.0,0,0,7.75,1,0_3
430,1,3,0,32.0,0,0,8.05,2,0_3
431,1,1,0,28.0,0,0,26.55,2,0_1
432,1,3,1,28.0,1,0,16.1,2,1_3
433,1,2,1,42.0,1,0,26.0,2,1_2
434,0,3,0,17.0,0,0,7.125,2,0_3
435,0,1,0,50.0,1,0,55.9,2,0_1
436,1,1,1,14.0,1,2,120.0,2,1_1
437,0,3,1,21.0,2,2,34.375,2,1_3
438,1,2,1,24.0,2,3,18.75,2,1_2
439,0,1,0,64.0,1,4,263.0,2,0_1
440,0,2,0,31.0,0,0,10.5,2,0_2
441,1,2,1,45.0,1,1,26.25,2,1_2
442,0,3,0,20.0,0,0,9.5,2,0_3
443,0,3,0,25.0,1,0,7.775,2,0_3
444,1,2,1,28.0,0,0,13.0,2,1_2
445,1,3,0,28.0,0,0,8.1125,2,0_3
446,1,1,0,4.0,0,2,81.8583,2,0_1
447,1,2,1,13.0,0,1,19.5,2,1_2
448,1,1,0,34.0,0,0,26.55,2,0_1
449,1,3,1,5.0,2,1,19.2583,0,1_3
450,1,1,0,52.0,0,0,30.5,2,0_1
451,0,2,0,36.0,1,2,27.75,2,0_2
452,0,3,0,28.0,1,0,19.9667,2,0_3
453,0,1,0,30.0,0,0,27.75,0,0_1
454,1,1,0,49.0,1,0,89.1042,0,0_1
455,0,3,0,28.0,0,0,8.05,2,0_3
456,1,3,0,29.0,0,0,7.8958,0,0_3
457,0,1,0,65.0,0,0,26.55,2,0_1
458,1,1,1,28.0,1,0,51.8625,2,1_1
459,1,2,1,50.0,0,0,10.5,2,1_2
460,0,3,0,28.0,0,0,7.75,1,0_3
461,1,1,0,48.0,0,0,26.55,2,0_1
462,0,3,0,34.0,0,0,8.05,2,0_3
463,0,1,0,47.0,0,0,38.5,2,0_1
464,0,2,0,48.0,0,0,13.0,2,0_2
465,0,3,0,28.0,0,0,8.05,2,0_3
466,0,3,0,38.0,0,0,7.05,2,0_3
467,0,2,0,28.0,0,0,0.0,2,0_2
468,0,1,0,56.0,0,0,26.55,2,0_1
469,0,3,0,28.0,0,0,7.725,1,0_3
470,1,3,1,0.75,2,1,19.2583,0,1_3
471,0,3,0,28.0,0,0,7.25,2,0_3
472,0,3,0,38.0,0,0,8.6625,2,0_3
473,1,2,1,33.0,1,2,27.75,2,1_2
474,1,2,1,23.0,0,0,13.7917,0,1_2
475,0,3,1,22.0,0,0,9.8375,2,1_3
476,0,1,0,28.0,0,0,52.0,2,0_1
477,0,2,0,34.0,1,0,21.0,2,0_2
478,0,3,0,29.0,1,0,7.0458,2,0_3
479,0,3,0,22.0,0,0,7.5208,2,0_3
480,1,3,1,2.0,0,1,12.2875,2,1_3
481,0,3,0,9.0,5,2,46.9,2,0_3
482,0,2,0,28.0,0,0,0.0,2,0_2
483,0,3,0,50.0,0,0,8.05,2,0_3
484,1,3,1,63.0,0,0,9.5875,2,1_3
485,1,1,0,25.0,1,0,91.0792,0,0_1
486,0,3,1,28.0,3,1,25.4667,2,1_3
487,1,1,1,35.0,1,0,90.0,2,1_1
488,0,1,0,58.0,0,0,29.7,0,0_1
489,0,3,0,30.0,0,0,8.05,2,0_3
490,1,3,0,9.0,1,1,15.9,2,0_3
491,0,3,0,28.0,1,0,19.9667,2,0_3
492,0,3,0,21.0,0,0,7.25,2,0_3
493,0,1,0,55.0,0,0,30.5,2,0_1
494,0,1,0,71.0,0,0,49.5042,0,0_1
495,0,3,0,21.0,0,0,8.05,2,0_3
496,0,3,0,28.0,0,0,14.4583,0,0_3
497,1,1,1,54.0,1,0,78.2667,0,1_1
498,0,3,0,28.0,0,0,15.1,2,0_3
499,0,1,1,25.0,1,2,151.55,2,1_1
500,0,3,0,24.0,0,0,7.7958,2,0_3
501,0,3,0,17.0,0,0,8.6625,2,0_3
502,0,3,1,21.0,0,0,7.75,1,1_3
503,0,3,1,28.0,0,0,7.6292,1,1_3
504,0,3,1,37.0,0,0,9.5875,2,1_3
505,1,1,1,16.0,0,0,86.5,2,1_1
506,0,1,0,18.0,1,0,108.9,0,0_1
507,1,2,1,33.0,0,2,26.0,2,1_2
508,1,1,0,28.0,0,0,26.55,2,0_1
509,0,3,0,28.0,0,0,22.525,2,0_3
510,1,3,0,26.0,0,0,56.4958,2,0_3
511,1,3,0,29.0,0,0,7.75,1,0_3
512,0,3,0,28.0,0,0,8.05,2,0_3
513,1,1,0,36.0,0,0,26.2875,2,0_1
514,1,1,1,54.0,1,0,59.4,0,1_1
515,0,3,0,24.0,0,0,7.4958,2,0_3
516,0,1,0,47.0,0,0,34.0208,2,0_1
517,1,2,1,34.0,0,0,10.5,2,1_2
518,0,3,0,28.0,0,0,24.15,1,0_3
519,1,2,1,36.0,1,0,26.0,2,1_2
520,0,3,0,32.0,0,0,7.8958,2,0_3
521,1,1,1,30.0,0,0,93.5,2,1_1
522,0,3,0,22.0,0,0,7.8958,2,0_3
523,0,3,0,28.0,0,0,7.225,0,0_3
524,1,1,1,44.0,0,1,57.9792,0,1_1
525,0,3,0,28.0,0,0,7.2292,0,0_3
526,0,3,0,40.5,0,0,7.75,1,0_3
527,1,2,1,50.0,0,0,10.5,2,1_2
528,0,1,0,28.0,0,0,221.7792,2,0_1
